Fecha,Vendedor,Región,Producto,Unidades,PrecioUnitario,TotalVenta
2024-03-10,Pedro,Este,Impresora,19,1348,25612
2024-03-11,Jorge,Centro,Smartphone,42,449,18858
2024-03-12,María,Sur,Impresora,33,322,10626
2024-03-13,Luis,Centro,Impresora,2,2649,5298
2024-03-14,Luis,Oeste,Smartphone,21,443,9303
2024-03-15,Luis,Sur,Monitor,17,2265,38505
2024-03-16,María,Oeste,Impresora,9,1238,11142
2024-03-17,Jorge,Norte,Monitor,27,996,26892
2024-03-18,Lucía,Centro,Impresora,13,1008,13104
2024-03-19,Ana,Centro,Smartphone,38,227,8626
2024-03-20,Ana,Centro,Monitor,19,320,6080
2024-03-21,Jorge,Centro,Impresora,40,2907,116280
2024-03-22,Jorge,Este,Monitor,8,600,4800
2024-03-23,Ana,Centro,Laptop,39,1323,51597
2024-03-24,Luis,Oeste,Impresora,2,507,1014
2024-03-25,Lucía,Este,Smartphone,36,164,5904
2024-03-26,María,Centro,Impresora,32,2838,90816
2024-03-27,Ana,Sur,Impresora,8,904,7232
2024-03-28,Pedro,Este,Impresora,17,1519,25823
2024-03-29,Lucía,Norte,Laptop,26,1275,33150
2024-03-30,María,Oeste,Impresora,23,1139,26197
2024-03-31,Luis,Centro,Laptop,20,1683,33660
2024-04-01,Lucía,Centro,Laptop,45,979,44055
2024-04-02,Jorge,Sur,Tablet,6,2572,15432
2024-04-03,Jorge,Norte,Laptop,31,232,7192
2024-04-04,María,Norte,Tablet,20,1392,27840
2024-04-05,Jorge,Norte,Monitor,26,2370,61620
2024-04-06,Pedro,Sur,Impresora,20,2484,49680
2024-04-07,Lucía,Oeste,Monitor,25,720,18000
2024-04-08,María,Centro,Monitor,24,2251,54024
2024-04-09,Lucía,Norte,Impresora,24,394,9456
2024-04-10,María,Sur,Impresora,1,1717,1717
2024-04-11,Jorge,Norte,Monitor,25,2896,72400
2024-04-12,Luis,Norte,Impresora,21,263,5523
2024-04-13,Luis,Centro,Tablet,3,2836,8508
2024-04-14,María,Norte,Monitor,13,252,3276
2024-04-15,Luis,Este,Smartphone,30,537,16110
2024-04-16,Ana,Centro,Impresora,8,620,4960
2024-04-17,María,Norte,Impresora,9,2950,26550
2024-04-18,Ana,Norte,Tablet,9,946,8514
2024-04-19,Pedro,Sur,Impresora,44,1057,46508
2024-04-20,Pedro,Centro,Laptop,32,1394,44608
2024-04-21,María,Oeste,Laptop,25,2416,60400
2024-04-22,Pedro,Norte,Smartphone,28,2019,56532
2024-04-23,Ana,Oeste,Laptop,40,582,23280
2024-04-24,Luis,Este,Monitor,15,1525,22875
2024-04-25,Jorge,Sur,Impresora,3,2101,6303
2024-04-26,Lucía,Norte,Monitor,30,1838,55140
2024-04-27,Jorge,Sur,Laptop,4,1509,6036
2024-04-28,María,Centro,Laptop,1,1757,1757
2024-04-29,Luis,Centro,Smartphone,31,955,29605
2024-04-30,María,Sur,Laptop,44,1638,72072
2024-05-01,Ana,Oeste,Impresora,4,2929,11716
2024-05-02,Jorge,Norte,Tablet,26,1973,51298
2024-05-03,Lucía,Este,Tablet,15,613,9195
2024-05-04,Luis,Este,Laptop,24,333,7992
2024-05-05,María,Centro,Monitor,28,2567,71876
2024-05-06,Pedro,Norte,Laptop,35,416,14560
2024-05-07,María,Este,Smartphone,26,1074,27924
2024-05-08,Jorge,Este,Laptop,41,1108,45428
2024-05-09,Pedro,Centro,Monitor,33,2809,92697
2024-05-10,Jorge,Oeste,Laptop,21,1598,33558
2024-05-11,Lucía,Norte,Monitor,19,2141,40679
2024-05-12,Jorge,Oeste,Laptop,15,2862,42930
2024-05-13,Lucía,Oeste,Laptop,15,1500,22500
2024-05-14,Luis,Centro,Laptop,36,1035,37260
2024-05-15,Jorge,Centro,Impresora,47,2070,97290
2024-05-16,Pedro,Oeste,Impresora,38,1627,61826
2024-05-17,Lucía,Este,Monitor,44,2984,131296
2024-05-18,Lucía,Norte,Monitor,33,1432,47256
2024-05-19,Pedro,Este,Monitor,41,1120,45920
2024-05-20,Luis,Sur,Laptop,41,2579,105739
2024-05-21,Pedro,Este,Tablet,11,2554,28094
2024-05-22,Pedro,Centro,Monitor,11,2543,27973
2024-05-23,Jorge,Sur,Tablet,39,992,38688
2024-05-24,María,Este,Laptop,35,1993,69755
2024-05-25,Pedro,Sur,Monitor,8,991,7928
2024-05-26,Pedro,Centro,Tablet,28,2983,83524
2024-05-27,María,Este,Impresora,13,1627,21151
2024-05-28,Pedro,Sur,Laptop,14,665,9310
2024-05-29,Ana,Este,Monitor,37,1478,54686
2024-05-30,Jorge,Este,Smartphone,15,439,6585
2024-05-31,Pedro,Sur,Smartphone,11,2406,26466
2024-06-01,Pedro,Este,Laptop,38,2139,81282
2024-06-02,Pedro,Norte,Monitor,4,1570,6280
2024-06-03,Jorge,Oeste,Laptop,15,2468,37020
2024-06-04,Lucía,Norte,Tablet,29,2588,75052
2024-06-05,Ana,Sur,Impresora,44,2356,103664
2024-06-06,Jorge,Centro,Impresora,9,1410,12690
2024-06-07,María,Este,Laptop,31,1367,42377
2024-06-08,María,Oeste,Smartphone,23,2350,54050
2024-06-09,Lucía,Norte,Impresora,35,2792,97720
2024-06-10,María,Oeste,Tablet,10,568,5680
2024-06-11,Ana,Sur,Monitor,30,1759,52770
2024-06-12,Pedro,Este,Tablet,2,1140,2280
2024-06-13,Lucía,Norte,Tablet,3,1681,5043
2024-06-14,Jorge,Sur,Laptop,20,2660,53200
2024-06-15,Luis,Sur,Laptop,19,1963,37297
2024-06-16,Luis,Este,Impresora,24,650,15600
2024-06-17,Ana,Este,Tablet,44,2450,107800
2024-06-18,Jorge,Este,Laptop,47,1770,83190
2024-06-19,María,Sur,Smartphone,7,1425,9975
2024-06-20,Lucía,Este,Smartphone,7,2369,16583
2024-06-21,Luis,Norte,Smartphone,17,2634,44778
2024-06-22,Pedro,Oeste,Impresora,41,1109,45469
2024-06-23,Jorge,Sur,Impresora,13,195,2535
2024-06-24,Luis,Norte,Tablet,40,1000,40000
2024-06-25,Luis,Este,Smartphone,4,2618,10472
2024-06-26,María,Norte,Laptop,22,447,9834
2024-06-27,Jorge,Sur,Tablet,43,1800,77400
2024-06-28,Jorge,Este,Tablet,25,2205,55125
2024-06-29,Lucía,Este,Monitor,48,1672,80256
2024-06-30,Ana,Este,Tablet,38,355,13490
2024-07-01,Pedro,Oeste,Monitor,37,2728,100936
2024-07-02,Lucía,Norte,Tablet,8,1349,10792
2024-07-03,María,Sur,Tablet,14,581,8134
2024-07-04,María,Norte,Smartphone,7,2546,17822
2024-07-05,Pedro,Este,Tablet,5,2428,12140
2024-07-06,Pedro,Centro,Monitor,5,1671,8355
2024-07-07,Luis,Centro,Tablet,14,1936,27104
2024-07-08,Luis,Oeste,Smartphone,39,2625,102375
2024-07-09,Luis,Sur,Laptop,40,1003,40120
2024-07-10,Jorge,Centro,Tablet,37,2870,106190
2024-07-11,Pedro,Norte,Tablet,44,968,42592
2024-07-12,Ana,Sur,Monitor,46,2852,131192
2024-07-13,Lucía,Sur,Laptop,10,711,7110
2024-07-14,Luis,Norte,Laptop,25,416,10400
2024-07-15,María,Oeste,Monitor,49,845,41405
2024-07-16,Jorge,Sur,Tablet,2,2377,4754
2024-07-17,Ana,Centro,Monitor,39,1631,63609
2024-07-18,Luis,Norte,Smartphone,2,1215,2430
2024-07-19,Ana,Este,Laptop,3,2839,8517
2024-07-20,Pedro,Este,Laptop,45,2193,98685
2024-07-21,Ana,Sur,Monitor,3,2514,7542
2024-07-22,María,Oeste,Tablet,12,1225,14700
2024-07-23,Luis,Este,Tablet,31,1213,37603
2024-07-24,Ana,Centro,Laptop,14,2511,35154
2024-07-25,Lucía,Oeste,Laptop,9,2555,22995
2024-07-26,Lucía,Sur,Impresora,33,464,15312
2024-07-27,María,Oeste,Laptop,13,1976,25688
2024-07-28,Jorge,Norte,Tablet,8,2609,20872
2024-07-29,Ana,Oeste,Smartphone,31,1629,50499
2024-07-30,Luis,Sur,Smartphone,47,497,23359
2024-07-31,Jorge,Centro,Tablet,22,2612,57464
2024-08-01,Jorge,Centro,Monitor,19,1700,32300
2024-08-02,María,Centro,Monitor,15,2260,33900
2024-08-03,Luis,Norte,Tablet,35,1049,36715
2024-08-04,María,Norte,Laptop,41,776,31816
2024-08-05,Ana,Este,Smartphone,2,505,1010
2024-08-06,Lucía,Centro,Monitor,41,2343,96063
2024-08-07,Luis,Norte,Smartphone,39,2874,112086
2024-08-08,Jorge,Norte,Monitor,30,2513,75390
2024-08-09,Ana,Oeste,Laptop,17,318,5406
2024-08-10,Ana,Centro,Smartphone,1,344,344
2024-08-11,Jorge,Centro,Tablet,30,446,13380
2024-08-12,Pedro,Sur,Tablet,31,1517,47027
2024-08-13,Lucía,Este,Smartphone,34,2149,73066
2024-08-14,Luis,Norte,Monitor,13,363,4719
2024-08-15,Lucía,Norte,Tablet,2,2715,5430
2024-08-16,Luis,Este,Tablet,45,911,40995
2024-08-17,María,Centro,Smartphone,16,2289,36624
2024-08-18,Jorge,Sur,Impresora,11,2437,26807
2024-08-19,Lucía,Este,Impresora,11,1893,20823
2024-08-20,Ana,Este,Smartphone,45,2737,123165
2024-08-21,Jorge,Este,Monitor,46,1232,56672
2024-08-22,Luis,Este,Impresora,12,167,2004
2024-08-23,Ana,Este,Impresora,40,558,22320
2024-08-24,Ana,Este,Tablet,19,1846,35074
2024-08-25,Pedro,Oeste,Impresora,22,959,21098
2024-08-26,Ana,Sur,Tablet,10,966,9660
2024-08-27,Lucía,Este,Smartphone,19,2268,43092
2024-08-28,Jorge,Oeste,Tablet,21,2464,51744
2024-08-29,Ana,Sur,Smartphone,14,1460,20440
2024-08-30,Lucía,Sur,Impresora,40,2647,105880
2024-08-31,María,Centro,Tablet,24,1818,43632
2024-09-01,María,Este,Laptop,24,1080,25920
2024-09-02,Pedro,Sur,Laptop,30,620,18600
2024-09-03,Jorge,Este,Tablet,4,2458,9832
2024-09-04,Pedro,Este,Tablet,45,709,31905
2024-09-05,Lucía,Oeste,Tablet,5,538,2690
2024-09-06,Luis,Oeste,Impresora,25,2610,65250
2024-09-07,Jorge,Centro,Tablet,3,2039,6117
2024-09-08,Lucía,Sur,Impresora,38,1388,52744
2024-09-09,Ana,Norte,Laptop,43,2440,104920
2024-09-10,Pedro,Centro,Smartphone,38,602,22876
2024-09-11,Luis,Sur,Monitor,44,182,8008
2024-09-12,Pedro,Este,Laptop,40,792,31680
2024-09-13,Jorge,Sur,Laptop,11,685,7535
2024-09-14,Luis,Este,Laptop,10,249,2490
2024-09-15,Lucía,Centro,Tablet,29,615,17835
2024-09-16,Lucía,Este,Laptop,41,1627,66707
2024-09-17,Lucía,Sur,Impresora,28,1259,35252
2024-09-18,María,Sur,Monitor,41,962,39442
2024-09-19,Luis,Oeste,Tablet,25,2524,63100
2024-09-20,Lucía,Oeste,Monitor,49,1215,59535
2024-09-21,Luis,Centro,Tablet,44,928,40832
2024-09-22,Lucía,Este,Monitor,47,1939,91133
2024-09-23,Pedro,Centro,Monitor,40,2760,110400
2024-09-24,Lucía,Este,Smartphone,31,2370,73470
2024-09-25,Pedro,Sur,Laptop,9,1618,14562
2024-09-26,Luis,Norte,Smartphone,29,2223,64467
2024-09-27,Lucía,Este,Impresora,43,746,32078
2024-09-28,Luis,Centro,Impresora,43,1933,83119
2024-09-29,Jorge,Este,Impresora,39,2019,78741
2024-09-30,Ana,Sur,Smartphone,17,1674,28458
2024-10-01,Jorge,Sur,Impresora,45,2368,106560
2024-10-02,María,Centro,Monitor,20,1366,27320
2024-10-03,Jorge,Este,Monitor,30,2950,88500
2024-10-04,Ana,Norte,Smartphone,10,1335,13350
2024-10-05,Luis,Este,Smartphone,44,901,39644
2024-10-06,María,Sur,Laptop,46,1296,59616
2024-10-07,Jorge,Norte,Impresora,48,913,43824
2024-10-08,Lucía,Norte,Monitor,37,2347,86839
2024-10-09,Pedro,Sur,Monitor,2,2217,4434
2024-10-10,Ana,Norte,Impresora,4,1570,6280
2024-10-11,Ana,Oeste,Impresora,34,2475,84150
2024-10-12,Ana,Centro,Laptop,5,1890,9450
2024-10-13,Lucía,Este,Smartphone,46,1819,83674
2024-10-14,Lucía,Este,Impresora,14,177,2478
2024-10-15,Luis,Este,Monitor,22,2878,63316
2024-10-16,Luis,Norte,Tablet,37,490,18130
2024-10-17,Ana,Este,Monitor,35,2527,88445
2024-10-18,Lucía,Sur,Monitor,48,2361,113328
2024-10-19,María,Centro,Smartphone,25,785,19625
2024-10-20,Pedro,Este,Smartphone,43,2026,87118
2024-10-21,Jorge,Oeste,Monitor,8,2708,21664
2024-10-22,Jorge,Centro,Tablet,44,1343,59092
2024-10-23,Ana,Oeste,Impresora,20,2395,47900
2024-10-24,María,Centro,Tablet,36,2745,98820
2024-10-25,Lucía,Este,Smartphone,25,1348,33700
2024-10-26,Ana,Oeste,Impresora,45,2364,106380
2024-10-27,María,Sur,Tablet,34,1206,41004
2024-10-28,Pedro,Sur,Laptop,16,1911,30576
2024-10-29,María,Oeste,Laptop,33,775,25575
2024-10-30,Pedro,Oeste,Tablet,21,688,14448
2024-10-31,María,Norte,Laptop,4,1772,7088
2024-11-01,Jorge,Sur,Laptop,14,2264,31696
2024-11-02,Luis,Oeste,Impresora,17,308,5236
2024-11-03,Jorge,Oeste,Impresora,12,1593,19116
2024-11-04,Ana,Oeste,Smartphone,26,1128,29328
2024-11-05,Pedro,Oeste,Monitor,17,2601,44217
2024-11-06,Luis,Este,Laptop,12,1539,18468
2024-11-07,María,Oeste,Laptop,6,455,2730
2024-11-08,Lucía,Centro,Impresora,37,2702,99974
2024-11-09,Pedro,Centro,Laptop,22,2779,61138
2024-11-10,Lucía,Centro,Laptop,40,606,24240
2024-11-11,Pedro,Centro,Smartphone,24,1701,40824
2024-11-12,Pedro,Oeste,Impresora,41,1153,47273
2024-11-13,Pedro,Oeste,Monitor,46,2141,98486
2024-11-14,Luis,Oeste,Smartphone,22,2942,64724
2024-11-15,Jorge,Oeste,Tablet,14,442,6188
2024-11-16,Lucía,Centro,Smartphone,14,1098,15372
2024-11-17,Luis,Este,Laptop,39,496,19344
2024-11-18,Pedro,Oeste,Tablet,36,1181,42516
2024-11-19,Ana,Este,Impresora,11,655,7205
2024-11-20,Pedro,Centro,Smartphone,36,1462,52632
2024-11-21,María,Este,Impresora,12,258,3096
2024-11-22,Pedro,Centro,Impresora,33,1972,65076
2024-11-23,Lucía,Sur,Monitor,8,2453,19624
2024-11-24,Luis,Este,Monitor,46,1796,82616
2024-11-25,María,Sur,Laptop,41,2183,89503
2024-11-26,Lucía,Centro,Monitor,38,315,11970
2024-11-27,Ana,Sur,Smartphone,8,842,6736
2024-11-28,Luis,Este,Smartphone,39,2219,86541
2024-11-29,Ana,Oeste,Tablet,45,2688,120960
2024-11-30,Ana,Sur,Laptop,35,364,12740
2024-12-01,Luis,Oeste,Impresora,14,2369,33166
2024-12-02,Luis,Norte,Monitor,38,1660,63080
2024-12-03,María,Centro,Impresora,22,937,20614
2024-12-04,Luis,Sur,Monitor,19,321,6099
2024-12-05,Pedro,Sur,Impresora,39,2223,86697
2024-12-06,Lucía,Norte,Smartphone,39,1466,57174
2024-12-07,Ana,Oeste,Monitor,13,1928,25064
2024-12-08,Pedro,Este,Impresora,36,2790,100440
2024-12-09,Pedro,Sur,Smartphone,32,2379,76128
2024-12-10,Jorge,Oeste,Laptop,37,870,32190
2024-12-11,Lucía,Norte,Monitor,26,2777,72202
2024-12-12,Jorge,Este,Monitor,28,2090,58520
2024-12-13,Pedro,Centro,Laptop,23,509,11707
2024-12-14,Pedro,Sur,Tablet,18,2195,39510
2024-12-15,Luis,Sur,Impresora,8,2782,22256
2024-12-16,Luis,Centro,Smartphone,24,1161,27864
2024-12-17,Luis,Centro,Smartphone,45,1974,88830
2024-12-18,Jorge,Este,Laptop,17,2169,36873
2024-12-19,Lucía,Centro,Tablet,18,2484,44712
2024-12-20,Pedro,Norte,Tablet,44,1092,48048
2024-12-21,Lucía,Sur,Smartphone,33,1812,59796
2024-12-22,Lucía,Norte,Smartphone,16,1969,31504
2024-12-23,María,Centro,Monitor,43,167,7181
2024-12-24,María,Centro,Impresora,5,2596,12980
2024-12-25,María,Oeste,Laptop,30,1636,49080
2024-12-26,Pedro,Norte,Impresora,6,1755,10530
2024-12-27,Pedro,Centro,Laptop,44,857,37708
2024-12-28,Pedro,Este,Tablet,44,1896,83424
2024-12-29,María,Sur,Monitor,34,620,21080
2024-12-30,Luis,Centro,Laptop,10,1463,14630
2024-12-31,Jorge,Oeste,Tablet,15,1977,29655
2025-01-01,Ana,Sur,Smartphone,41,2752,112832
2025-01-02,Lucía,Centro,Impresora,46,1550,71300
2025-01-03,Ana,Centro,Laptop,47,2255,105985
2025-01-04,Ana,Sur,Smartphone,13,2468,32084
2025-01-05,María,Oeste,Laptop,38,1819,69122
2025-01-06,Luis,Sur,Tablet,23,1104,25392
2025-01-07,Jorge,Sur,Tablet,20,2609,52180
2025-01-08,Lucía,Este,Tablet,4,1207,4828
2025-01-09,Jorge,Sur,Laptop,17,2276,38692
2025-01-10,Ana,Centro,Tablet,43,2984,128312
2025-01-11,Pedro,Centro,Laptop,35,2492,87220
2025-01-12,María,Centro,Impresora,24,2715,65160
2025-01-13,Lucía,Norte,Smartphone,20,2184,43680
2025-01-14,Lucía,Norte,Laptop,49,628,30772
2025-01-15,Luis,Sur,Tablet,44,1033,45452
2025-01-16,Lucía,Oeste,Smartphone,20,557,11140
2025-01-17,Lucía,Centro,Smartphone,46,248,11408
2025-01-18,Ana,Centro,Tablet,6,2412,14472
2025-01-19,Luis,Sur,Smartphone,24,2965,71160
2025-01-20,María,Oeste,Smartphone,21,978,20538
2025-01-21,Jorge,Centro,Tablet,19,371,7049
2025-01-22,Lucía,Este,Laptop,38,255,9690
2025-01-23,Luis,Norte,Impresora,9,188,1692
2025-01-24,Jorge,Norte,Monitor,25,1023,25575
2025-01-25,Jorge,Sur,Impresora,36,2905,104580
2025-01-26,Luis,Este,Tablet,15,2692,40380
2025-01-27,Luis,Oeste,Impresora,44,2626,115544
2025-01-28,Jorge,Sur,Monitor,40,1440,57600
2025-01-29,Luis,Centro,Tablet,33,1369,45177
2025-01-30,María,Este,Smartphone,26,2309,60034
2025-01-31,Ana,Oeste,Laptop,48,2185,104880
2025-02-01,Luis,Sur,Smartphone,28,618,17304
2025-02-02,Ana,Oeste,Monitor,34,1352,45968
2025-02-03,Lucía,Centro,Laptop,3,2150,6450
2025-02-04,Lucía,Centro,Smartphone,33,2420,79860
2025-02-05,María,Sur,Monitor,7,2033,14231
2025-02-06,Ana,Norte,Monitor,22,2554,56188
2025-02-07,Lucía,Este,Monitor,48,2371,113808
2025-02-08,Pedro,Sur,Laptop,43,1647,70821
2025-02-09,María,Centro,Impresora,49,2626,128674
2025-02-10,Luis,Norte,Monitor,23,1583,36409
2025-02-11,Luis,Norte,Smartphone,11,268,2948
2025-02-12,María,Centro,Monitor,30,1781,53430
2025-02-13,Ana,Oeste,Monitor,4,2669,10676
2025-02-14,Ana,Sur,Impresora,17,1982,33694
2025-02-15,Luis,Norte,Smartphone,40,241,9640
2025-02-16,Pedro,Oeste,Monitor,49,432,21168
2025-02-17,Jorge,Centro,Impresora,6,2690,16140
2025-02-18,Ana,Oeste,Laptop,34,1102,37468
2025-02-19,Jorge,Norte,Monitor,15,460,6900
2025-02-20,Pedro,Centro,Monitor,39,2158,84162
2025-02-21,Ana,Oeste,Tablet,42,831,34902
2025-02-22,Luis,Sur,Tablet,20,982,19640
2025-02-23,Jorge,Centro,Tablet,38,1786,67868
2025-02-24,Lucía,Sur,Impresora,27,2125,57375
2025-02-25,Lucía,Centro,Laptop,8,1812,14496
2025-02-26,Ana,Centro,Smartphone,35,943,33005
2025-02-27,Jorge,Norte,Monitor,44,1122,49368
2025-02-28,Lucía,Este,Smartphone,8,1879,15032
2025-03-01,Ana,Sur,Monitor,48,2766,132768
2025-03-02,Pedro,Este,Laptop,40,2823,112920
2025-03-03,Luis,Norte,Tablet,24,2168,52032
2025-03-04,Lucía,Sur,Laptop,18,2502,45036
2025-03-05,Luis,Centro,Laptop,7,842,5894
2025-03-06,Lucía,Oeste,Impresora,45,1920,86400
2025-03-07,Pedro,Sur,Laptop,24,1997,47928
2025-03-08,Lucía,Sur,Smartphone,13,1593,20709
2025-03-09,Ana,Este,Tablet,22,755,16610
2025-03-10,Ana,Sur,Tablet,39,696,27144
2025-03-11,Lucía,Sur,Monitor,46,1397,64262
2025-03-12,Ana,Sur,Impresora,26,2673,69498
2025-03-13,Ana,Centro,Tablet,48,1728,82944
2025-03-14,Ana,Este,Laptop,27,408,11016
2025-03-15,Ana,Oeste,Impresora,32,2361,75552
2025-03-16,Ana,Este,Monitor,4,2926,11704
2025-03-17,Ana,Norte,Smartphone,19,684,12996
2025-03-18,Lucía,Este,Smartphone,49,564,27636
2025-03-19,María,Norte,Smartphone,47,1978,92966
2025-03-20,María,Sur,Impresora,25,1568,39200
2025-03-21,Pedro,Norte,Smartphone,44,1293,56892
2025-03-22,María,Norte,Laptop,33,215,7095
2025-03-23,Luis,Sur,Laptop,16,2997,47952
2025-03-24,Luis,Sur,Impresora,35,2872,100520
2025-03-25,Ana,Este,Smartphone,35,1460,51100
2025-03-26,Luis,Este,Smartphone,39,960,37440
2025-03-27,Luis,Centro,Monitor,46,2583,118818
2025-03-28,Lucía,Oeste,Laptop,25,374,9350
2025-03-29,Ana,Centro,Smartphone,19,1990,37810
2025-03-30,Pedro,Este,Tablet,28,283,7924
2025-03-31,Lucía,Centro,Tablet,8,1725,13800
2025-04-01,Lucía,Centro,Tablet,13,1008,13104
2025-04-02,Ana,Oeste,Monitor,3,1462,4386
2025-04-03,Ana,Este,Laptop,49,1168,57232
2025-04-04,Luis,Sur,Tablet,10,165,1650
2025-04-05,Pedro,Norte,Monitor,19,2836,53884
2025-04-06,Pedro,Centro,Impresora,13,2432,31616
2025-04-07,María,Norte,Smartphone,1,2819,2819
2025-04-08,Jorge,Oeste,Tablet,37,978,36186
2025-04-09,María,Centro,Impresora,40,2757,110280
2025-04-10,Pedro,Oeste,Laptop,2,2193,4386
2025-04-11,Pedro,Norte,Impresora,30,317,9510
2025-04-12,Jorge,Oeste,Impresora,10,461,4610
2025-04-13,María,Sur,Smartphone,2,2258,4516
2025-04-14,Lucía,Este,Monitor,38,1706,64828
2025-04-15,Jorge,Centro,Tablet,18,536,9648
2025-04-16,Ana,Este,Smartphone,36,2413,86868
2025-04-17,María,Este,Smartphone,43,1646,70778
2025-04-18,Luis,Sur,Tablet,29,878,25462
2025-04-19,María,Este,Laptop,3,1350,4050
2025-04-20,Luis,Norte,Monitor,27,357,9639
2025-04-21,Lucía,Oeste,Impresora,1,1806,1806
2025-04-22,Pedro,Este,Smartphone,45,1747,78615
2025-04-23,María,Norte,Tablet,47,1122,52734
2025-04-24,María,Centro,Smartphone,23,476,10948
2025-04-25,María,Centro,Monitor,33,1387,45771
2025-04-26,Pedro,Este,Laptop,33,2565,84645
2025-04-27,Pedro,Este,Laptop,5,2697,13485
2025-04-28,María,Este,Monitor,15,2364,35460
2025-04-29,Pedro,Sur,Smartphone,43,2337,100491
2025-04-30,Lucía,Este,Monitor,6,1138,6828
2025-05-01,María,Centro,Tablet,37,1635,60495
2025-05-02,Luis,Norte,Smartphone,41,509,20869
2025-05-03,Pedro,Oeste,Impresora,49,2344,114856
2025-05-04,Jorge,Oeste,Smartphone,17,1181,20077
2025-05-05,María,Este,Impresora,46,577,26542
2025-05-06,Jorge,Sur,Monitor,35,709,24815
2025-05-07,Luis,Oeste,Impresora,1,1967,1967
2025-05-08,Pedro,Este,Smartphone,18,978,17604
2025-05-09,Luis,Norte,Tablet,8,474,3792
2025-05-10,Lucía,Centro,Tablet,47,1932,90804
