,Cherry,Mango,Banana,Guava,Litchi,Wastage
257,7337,36666,44574,41275,13115,32443
258,24688,34173,5606,49754,43856,38495
259,42479,25204,47887,14757,22788,43831
260,26156,24551,49299,8894,8909,38220
261,5353,15457,5782,24870,8095,46487
262,16071,41430,16106,11903,42919,20067
263,33979,24572,18068,19510,35791,6933
264,19011,5652,45398,41314,18203,5818
265,44613,24512,30157,30999,19478,19689
266,28740,29947,17315,10600,19855,21057
267,27918,17656,514,21767,21700,8832
268,45085,43307,21043,45022,30265,45942
269,23310,39428,29837,34912,13919,44841
270,30002,6766,18080,5848,15586,38201
271,16924,12351,14565,36000,6895,35627
272,43453,17773,15009,29563,28583,7482
273,15629,22943,47063,43477,21028,11199
274,12788,16614,43084,23911,9561,32750
275,45922,9898,36519,15417,46066,22248
276,23851,33178,33394,17804,39872,44086
277,7754,23679,3910,9415,13159,20442
278,32825,17005,24279,24800,15384,37648
279,5550,43572,35796,41335,38078,16446
280,31686,17844,37953,12694,18880,44269
281,45355,43040,29302,8908,22803,14442
282,20722,39198,27209,34582,35456,43223
283,11456,20373,44326,15379,17544,25534
284,21311,25871,25908,43995,47026,9786
285,30891,28668,12553,27619,37511,5534
286,30207,37183,28157,24028,25763,10545
287,48428,35210,41206,27105,6231,25706
288,27741,5666,7473,17985,13372,9779
289,20879,7419,44053,40933,22802,28160
290,22624,38996,29175,5627,27503,30509
291,16639,35461,40399,13207,30380,36471
292,24339,29709,35633,31544,20991,37617
293,35990,16075,13988,39360,6130,26173
294,12688,15411,18812,6176,34632,41019
295,14654,27883,2302,47369,48474,16194
296,11636,25865,39420,43499,26870,16660
297,38297,27242,3168,12837,6746,19655
298,39070,12898,18936,43441,42001,31260
299,35687,8654,34238,40552,15696,25395
300,13412,28702,41077,12712,47553,21644
301,14976,15866,11632,6171,44185,25670
302,21872,45285,24190,6201,36159,35215
303,41464,40445,31893,37176,41350,40600
304,40104,25714,26020,48003,42995,13208
305,47375,15061,10251,31987,11241,26100
306,17044,6732,4252,7609,28974,43060
307,5817,46507,33382,36401,15691,19043
308,44287,13336,12667,11146,27579,40086
309,31448,24646,39365,34993,48896,45441
310,24369,41163,33938,19095,36719,22748
311,12209,32709,25352,6826,13171,45463
312,29285,44695,16568,9704,38660,7936
313,14362,18256,6054,5726,20209,33600
314,36107,6764,8560,33734,40583,18160
315,33049,27561,22039,41885,8016,7521
316,44698,27619,5657,7828,22800,30216
317,24456,28353,47781,44408,12634,31177
318,31225,5325,46522,28613,10687,6219
319,34102,9258,7050,43777,25893,19429
320,38783,37483,42262,5970,15179,25802
321,28101,26518,28817,15767,39350,49879
322,26054,43301,21976,18437,49776,14533
323,33363,42452,49868,16513,25778,9336
324,19107,19002,25000,49516,22810,35866
325,19857,32038,9655,5206,29790,7981
326,9934,28875,47120,35342,35983,15601
327,10328,30991,48380,19620,12991,16679
328,47147,7828,25990,26807,6089,19365
329,42841,43339,49928,49389,37035,49859
330,11211,20285,3789,21691,47312,11862
331,20815,48153,38665,37338,37940,21568
332,47103,28090,14416,32270,16156,42708
333,40888,20030,7374,23724,32948,18044
334,17736,39309,46587,33983,26142,9516
335,15212,32990,7226,18671,16195,28415
336,18317,43632,42005,49597,10928,30029
337,6497,33371,7875,14109,32495,42394
338,12927,30035,12676,47121,14910,9996
339,47304,10431,26555,6934,9025,20233
340,44528,40558,15824,47273,26012,23452
341,30487,39073,32940,14651,45549,9325
342,35491,13286,9261,16357,35103,24691
343,7619,14437,7847,17140,13907,46180
344,46063,29758,22121,49136,41728,41874
345,9275,49661,42016,24654,34871,36737
346,44040,44528,37848,16926,36820,18887
347,16147,19811,48191,39377,48276,40509
348,36003,32017,2886,14315,40621,37650
349,8760,48300,7739,45834,7411,25082
350,43053,6974,2327,14320,22360,30031
351,35721,25871,35338,44915,23038,11793
352,24396,44697,2783,26287,38573,29140
353,42354,30206,35985,21000,19770,15091
354,44112,36137,30674,36543,30420,39817
355,19528,10259,5233,11039,12059,41991
356,26785,24350,36496,24990,48190,29679
357,33484,46511,16274,11924,13540,28672
358,39199,35895,30389,36175,40434,49987
359,49270,10406,34427,45931,22932,10980
360,7739,44835,48706,26967,45170,19360
361,44482,6093,20355,21576,19132,46437
362,8448,5659,14921,34034,37637,12236
363,15449,20069,2440,28753,21746,29222
364,26467,8999,5081,18485,38943,30033
365,24123,7173,14301,25350,11314,20934
366,25414,28656,6593,44121,44903,22620
367,34780,7636,37727,28716,43169,8869
368,33065,45355,4146,21527,35460,46121
369,43311,40540,2462,20331,15298,11390
370,28338,15965,12243,22901,27703,36447
371,26326,5519,19501,25117,17833,25253
372,32689,30801,36489,21179,40931,40593
373,43694,10758,27928,29218,13042,28224
374,47410,26803,33505,45449,9994,6330
375,38957,36412,31091,35534,9511,37903
376,14089,6162,27471,28597,48718,12483
377,40289,26128,18134,26318,38217,41666
378,37759,45855,39103,11850,28405,20447
379,33734,49382,8146,26961,31279,7199
380,18326,41723,43775,7259,25421,25447
381,34378,6770,2169,18305,40436,39980
382,8244,49659,8788,42185,48195,40616
383,40610,9005,27460,25873,28750,41149
384,20549,44535,13156,7283,15847,8689
385,24674,43553,34279,5296,38425,11208
386,5769,46797,1845,41895,24562,10939
387,20394,30934,48417,12530,36161,5437
388,29976,36184,17174,18177,22222,31165
389,14915,20392,21348,5349,7221,9837
390,15641,45122,23982,42806,29638,12126
391,7234,39554,45758,18778,36783,22810
392,27162,28503,18174,38552,37634,28343
393,26384,42718,36241,9892,5131,38582
394,38726,31201,27093,33776,23813,31326
395,19490,27182,4016,44382,12513,39068
396,28463,24051,18750,37448,42221,15527
397,10542,13187,15895,24542,49483,37889
398,44620,20067,11862,38715,8502,20961
399,10775,41414,25097,20554,15904,5928
400,21568,30171,21561,47986,33549,10806
401,11216,11534,20708,22387,43331,33345
402,15734,15907,11748,39480,26403,11634
403,22499,37522,23270,49851,45467,47912
404,47211,38422,35713,16129,39837,42802
405,24585,31010,6915,16277,10216,29035
406,32626,10364,19989,38922,35791,39875
407,37212,41173,24271,21684,32091,34478
408,17915,25268,29482,8230,6322,20483
409,6412,36879,13448,19491,35439,9948
410,48365,30649,48108,16370,14517,33758
411,33492,37265,33660,43034,21185,19844
412,13193,37522,31749,25770,37701,31967
413,41112,6448,49761,37313,47233,42412
414,15206,43489,16092,32124,18901,49745
415,45458,23428,8218,43200,9791,39135
416,18786,36273,46425,44898,22375,8940
417,6115,15752,30412,26113,21851,45779
418,25513,5370,560,39372,5581,19766
419,42607,43393,22839,20167,23944,17153
420,45470,8004,36178,34976,37157,7914
421,17931,44471,12763,17285,22757,34522
422,39314,10097,29907,21534,14343,14120
423,33779,32777,43918,5727,31386,23145
424,35167,29070,5492,49707,5737,42601
425,28739,15143,22182,41961,27195,31838
426,11886,43785,30105,31384,9993,12705
427,21225,21814,17451,16759,23545,6176
428,36616,23631,861,6169,15485,17864
429,7675,15183,49195,22483,42441,32736
430,29324,31760,44559,31799,21456,46297
431,48026,20563,31602,32590,8644,20419
432,26241,45269,2897,38977,6343,43740
433,34598,17467,18181,20625,46670,47326
434,29114,19373,24777,44594,37846,23113
435,23601,18791,30389,8991,13165,6846
436,36603,41938,28363,32021,40329,46539
437,42727,29133,20692,14924,18936,29608
438,17806,45304,28719,24259,35897,46395
439,40317,12041,23758,21390,37878,42032
440,7278,5567,9361,42336,20501,37474
441,9654,15167,40281,29719,10312,39672
442,13888,48501,28185,39649,13790,13952
443,9289,30864,36156,41231,6662,29960
444,30344,39998,29077,46481,10774,47764
445,23990,20957,31453,30311,10820,8532
446,41955,34397,11878,33854,41787,11137
447,36358,49417,44627,30144,24619,29596
448,28184,35574,3678,36339,33852,40365
449,34962,44779,17232,29899,36744,17105
450,27800,31793,46992,47190,33290,24886
451,33843,25863,44398,11677,32669,42360
452,43895,9777,22021,43055,45098,26767
453,42341,12742,42972,28762,16420,25440
454,43169,38491,39598,34762,10345,10741
455,42552,37901,28034,23313,11169,35053
456,12489,10264,23344,20014,5273,6951
457,26271,33614,23361,16609,8823,22395
458,20636,23107,14657,30424,23881,13176
459,10382,27025,42612,9943,5393,24633
460,39973,15744,27568,33794,21089,10542
461,47290,26964,23449,42497,43154,17687
462,42533,39995,33993,25915,33924,6795
463,27629,9346,8087,11245,38463,41805
464,44810,39015,12379,22859,5898,8856
465,16860,25577,11705,14237,47489,24692
466,31272,7991,40033,43420,11242,5306
467,28711,30837,5074,16900,9198,30734
468,49427,30109,40749,47105,46770,28552
469,42180,23821,30230,38440,49894,26361
470,43760,11911,38119,24500,37692,46078
471,21799,31933,43417,37000,8720,36505
472,24541,44589,41962,13673,15310,43833
473,29690,46303,49968,34908,32909,35638
474,38285,12354,39732,30469,42406,7853
475,25683,37711,5529,22260,19781,41551
476,34919,43105,47838,48613,33688,10873
477,5282,25188,37150,33361,44869,13967
478,32394,37876,20174,22551,5151,21930
479,42304,33186,48655,11563,6270,17644
480,27268,27863,46855,46951,45260,34880
481,9577,37837,24905,42302,23611,5154
482,42668,35036,40998,28618,43304,16361
483,16931,36448,28973,8870,8824,19479
484,17418,32011,9790,39107,32585,22457
485,25450,39972,14137,38465,8186,20653
486,31581,41385,3551,24010,18904,6242
487,25064,33032,5189,38376,42513,27844
488,28048,30891,35635,29419,39906,41077
489,27176,33321,27095,14551,28758,18884
490,24643,39314,7520,30535,23740,19897
491,28296,7254,42881,47471,22389,47953
492,30259,15538,28155,40353,32358,45805
493,7024,16721,32189,19200,5618,34427
494,39422,21191,46589,32029,46562,31933
495,48213,45565,5384,19900,14874,40717
496,22527,48960,528,14801,13288,12676
497,48206,16954,30987,7375,20833,38316
498,46253,23104,24528,49116,7036,17005
499,44452,39352,19886,16682,33381,24217
500,5998,25626,7430,35621,38749,10572
501,40665,35587,5152,43649,43238,12010
502,29553,28814,31555,45943,14283,46189
503,6990,19525,24267,47305,35315,35246
504,23598,45146,30022,45841,42042,40252
505,44033,30544,39876,40387,7206,20190
506,14145,45909,48993,5585,28033,19378
507,47243,18938,567,36668,43784,13543
508,40084,43748,19566,10416,21809,27159
509,31428,23648,7681,30216,20716,16766
510,38432,24215,3942,11437,8878,48426
511,46806,9794,43848,8309,11651,48772
512,10033,47222,48313,23027,36055,46005
513,49931,39758,37287,29020,10752,38681
514,39994,25449,18484,30174,7028,8038
515,42952,39957,6851,30964,21406,45197
516,11191,25463,10838,20239,7281,15735
517,48527,43439,2153,25568,39800,20740
518,19574,36560,10183,26358,31010,14969
519,38815,26571,45567,7560,44165,16452
520,9782,24130,38165,45814,48524,8850
521,42494,25411,34715,23686,39186,26552
522,10726,24934,34492,12476,10188,13322
523,42325,44386,35653,41095,29843,14889
524,23559,34995,7816,47634,22526,30554
525,31028,30574,1356,18082,36679,9522
526,7441,45059,34712,25363,43071,7354
527,8159,38820,10105,5116,34085,44655
528,33823,16087,43611,17042,21200,33632
529,46407,31866,21718,11785,11331,32408
530,7800,39612,31212,26997,9156,35593
531,16389,30198,48232,47779,48977,36416
532,16292,39528,22363,19797,31632,49409
533,21894,48095,16117,39562,26913,32032
534,16875,16943,49577,6915,20230,22609
535,27076,8318,14805,25668,25249,40148
536,18821,11563,46039,8863,49966,18114
537,22221,47104,35954,24066,5103,12181
538,32128,6004,10579,11421,12594,23069
539,45004,19954,19016,35015,15536,18679
540,43260,15293,34125,42114,38698,39373
541,30130,13323,15038,37664,45017,45747
542,15963,41581,1416,43032,5038,26605
543,30615,45827,16821,24752,42708,20253
544,40983,31168,13922,20753,48053,42935
545,22660,44766,17366,38423,39501,18718
546,41510,35784,7979,38013,39923,35658
547,37761,27445,13486,42182,5311,43851
548,46973,26602,43686,7973,48605,13092
549,48186,14176,26848,29721,26288,6432
550,33639,36451,7111,35380,19614,26899
551,11157,30650,46078,33659,34021,11996
552,36461,19732,28036,39797,33609,26352
553,18222,6168,25922,45169,18631,31109
554,28471,9285,8414,27798,44665,12466
555,6520,19312,29963,6752,23918,29327
556,20434,38237,37432,8808,31734,45073
557,16886,17398,19878,26099,16075,17597
558,13598,41293,31764,21278,18992,12583
559,36695,27503,41504,17348,27874,24943
560,44657,48791,29119,26275,25128,17258
561,43118,22329,16787,42492,14135,33600
562,5822,22030,48237,8310,27007,11030
563,11161,27506,24464,26524,37720,47766
564,11750,34747,994,37776,22874,17564
565,21880,48206,909,44177,47319,27921
566,18196,20544,34895,29166,17800,39784
567,49540,26245,10384,30703,37051,27173
568,47844,9468,43570,7548,27903,28817
569,19619,41663,48720,34080,34284,30872
570,20194,31009,6588,14918,44888,17544
571,41430,28689,21048,43224,48398,48960
572,5254,44359,47442,26983,36213,23620
573,28899,27384,37720,35354,27233,23200
574,39400,6078,47411,12156,8414,17079
575,30484,23299,26012,10671,7163,25499
576,25839,46006,28575,32359,48246,20477
577,20010,9594,26116,7500,15113,10970
578,9673,7573,28998,18065,19448,35059
579,42465,37959,16167,21914,35576,21648
580,21520,10819,10693,33281,11619,29227
581,39539,19717,18524,48212,29571,17255
582,15902,27783,35954,43632,35095,5178
583,37417,43501,41216,35812,31921,33738
584,9490,38476,10168,25951,24392,47623
585,41959,5585,15629,21572,33262,23085
586,10399,22393,26481,29722,5783,28100
587,11542,38841,1127,36757,31441,9425
588,17203,8000,20587,12943,19999,13689
589,36998,33529,5767,28180,16910,45960
590,18494,45417,48165,39475,25294,29967
591,28657,20757,41375,7738,39576,38578
592,34620,30795,25671,28265,35719,38297
593,48523,34333,27040,14700,26042,19875
594,5811,14401,42773,47470,5272,41959
595,29699,44082,35970,14699,29612,41989
596,40230,18668,18580,31289,49961,24152
597,39799,39480,15292,47803,34986,10738
598,37501,26357,17369,31620,34429,19953
599,22549,16178,16688,22424,39547,12094
600,49471,46785,42499,8231,5964,48207
601,42731,38601,42658,11083,42767,47268
602,47701,27014,43923,26527,49890,46623
603,9489,26912,12362,47609,18847,43036
604,30240,47918,23800,16863,18808,16241
605,34407,13395,15693,36741,33493,24288
606,11716,47002,22380,21255,35555,24293
607,5487,12950,4800,6271,24111,22000
608,27212,27854,18685,21633,47134,5122
609,10494,22901,532,32997,48481,14632
610,10234,15063,11267,35968,25953,17076
611,6092,8678,33067,18871,47580,14741
612,24989,32235,43898,13728,18227,49235
613,7601,47046,49805,28789,15314,45077
614,19965,6858,3642,34996,49686,35416
615,49777,11257,6408,11754,23639,6160
616,10476,44757,43409,17136,20104,33506
617,26165,16683,22572,18669,19097,10267
618,27175,44045,16483,16684,7842,28157
619,13929,33821,2842,34568,22310,40843
620,5815,8064,39997,48084,19853,47693
621,31605,13545,1109,8524,36176,48714
622,34428,21661,6174,40300,43250,44584
623,25577,31273,35384,10552,18276,36170
624,36837,23545,35001,47586,5163,38059
625,15250,5243,19625,43917,32671,33868
626,36059,39049,24692,45214,38525,43566
627,13771,40796,32832,29867,40175,18147
628,7361,44375,39437,25862,44126,6878
629,19432,29057,49056,6272,15413,34014
630,34404,34114,19046,33741,46678,6298
631,49074,46181,43920,27373,40317,38211
632,33061,48595,48152,42939,17402,24918
633,43636,36835,23468,48039,26742,42690
634,12792,42144,42215,15305,12368,15142
635,40164,32376,10047,25314,39975,32091
636,22524,18509,6250,10324,18658,9212
637,23388,14789,45452,10643,13777,9007
638,47077,8144,18470,26495,49400,15978
639,25138,25548,2561,12904,24316,39862
640,24398,24779,13516,22923,15918,14115
641,36940,37780,47321,49910,16902,35936
642,42258,8937,41310,9800,43306,41957
643,31762,8780,34423,21948,7686,11963
644,32117,21996,47762,14915,46740,42436
645,11602,33251,29596,34538,18404,18611
646,38492,35442,22979,42941,38208,24539
647,35572,37223,38607,22092,5835,21510
648,28270,46042,2779,6406,28813,40545
649,12198,32231,4843,7834,45916,9232
650,26339,27548,47066,31052,28812,26453
651,34454,28522,21992,26221,43555,19885
652,18193,44473,14697,42306,30230,28949
653,32057,44374,6418,23503,7700,48996
654,13908,48906,35724,18006,7694,28984
655,15471,22040,26579,9316,29926,15403
656,11348,49821,33515,20633,49109,26553
657,23131,11617,39749,40560,26892,6051
658,7831,25921,30777,35790,43904,6522
659,31515,13747,2226,20396,11183,35279
660,5728,32442,33636,21156,30604,35455
661,28107,35355,32736,6548,44275,11247
662,49597,32870,33244,48961,12189,31767
663,47946,25491,1889,48914,27509,40292
664,46871,43016,41237,28423,31145,42027
665,37804,33937,33669,13036,25912,20201
666,41441,9132,20445,40254,30226,17372
667,44907,16724,18446,43574,45461,23295
668,45733,16091,5744,37765,9679,41989
669,24471,47745,17147,49730,35901,46344
670,25361,12746,31203,8768,24110,35115
671,47354,47799,23541,19869,13567,25208
672,47778,10225,39499,34937,15726,11082
673,23513,40613,45591,9074,25259,18206
674,49458,24245,15845,39443,13417,30367
675,5668,48264,45213,33359,37907,6952
676,40415,15800,25712,39247,35928,41191
677,12979,20079,46745,39078,25521,27895
678,11499,20270,33161,38171,15921,19839
679,7201,32401,48416,28436,32125,24014
680,5933,40694,16353,12359,13440,48112
681,6101,7016,22106,11191,25318,9390
682,38319,6005,7868,6014,12591,15351
683,11006,17649,45347,35496,19249,16249
684,45498,37387,32426,8299,33782,20798
685,21057,12398,28176,17816,41979,21453
686,33539,8235,36913,44816,43359,47703
687,39611,19338,7599,32947,25894,15533
688,34289,16661,23214,12939,6021,22453
689,45185,25186,25417,5809,48413,43173
690,26309,43968,32148,10469,21268,45149
691,33972,19777,20615,11745,23334,48044
692,19207,21860,13314,29158,9862,29607
693,45721,20946,24921,11975,45361,19012
694,21516,41768,29285,48741,8563,35767
695,43451,27192,32361,16228,12152,40588
696,8391,39944,40412,19926,28095,9898
